"Avdeling","Formel","Forklaringsgrad"
"15 SB","Rating = 4.224 + 0.258Gode_P + 0.337Annet_B","0.071"
"33 DG","Rating = 4.273 + 0.303Positiv + 0.307Gode_P + -0.706Godt_R + 0.189Annet_B","0.114"
"13 VT","Rating = 4.264 + 0.276Positiv + 0.210Gode_P + 0.278Annet_B","0.061"
"32 MB","Rating = 4.281 + 0.378Positiv + 0.292Annet_B","0.077"
"40 FLOTT","Rating = 4.351 + 0.492Positiv + 0.245Annet_B","0.093"
"20 TG","Rating = 4.255 + 0.338Positiv + 0.189Gode_P + -1.018Godt_R + 0.236Annet_B","0.067"
"38 SAND","Rating = 4.103 + 0.700Positiv","0.068"
"17 TM","Rating = 4.059","0.071"
"14 TA","Rating = 3.838 + 0.552Positiv","0.092"
"31 LAG","Rating = 4.278 + 0.333Positiv + 0.225Gode_P","0.070"
"27 NY","Rating = 3.976 + -2.976Godt_R","0.224"
"36 FEST","Rating = 3.988","0.061"
"22 MA","Rating = 4.231 + 0.531Positiv","0.041"
"26 CH","Rating = 4.318 + 0.264Positiv + 0.215Annet_B","0.057"
"30 SOL","Rating = 4.200 + 0.514Positiv","0.068"
"12 VA","Rating = 4.128 + 0.581Positiv","0.077"
"29 TS","Rating = 4.150 + 0.641Positiv","0.087"
"19 HS","Rating = 4.134 + -1.360Godt_R + 0.465Annet_B","0.078"
"25 BH","Rating = 3.928","0.106"
"11 NK","Rating = 3.874 + 0.427Gode_P + 0.335Annet_B","0.066"
"21 NV","Rating = 4.164 + 0.264Gode_P + 0.277Annet_B","0.061"
"23 FS","Rating = 3.879 + 0.416Positiv + 0.517Gode_P","0.174"
"28 GR","Rating = 4.016","0.150"
"24 HO","Rating = 4.456","0.117"
