# Sett av noder
set NODES := Korskirken Christie Damsgård Marken Fløyen Mindemyren Festplassen KronstadX Horisont VestreTorggaten;

# Avstandsmatrise
param DISTANCE: 
                Horisont Festplassen Christie Fløttmannsplassen Marken Mindemyren Lagunen KronstadX VestreTorggaten Korskirken Fløyen :=
Horisont        0       12.6       13.08    13.32           12.47  14.2      21.72   13.13    12.8            13.41      13.3
Festplassen     13.25   0          1.02     3.51            0.38   4.66      12.18   3.59     0.74            0.76       0.74
Christie        12.76   1.15       0        3.14            1.54   4.29      11.81   3.22     1.35            1.96       1.85
Fløttmannsplassen 14.01 3.4        3.1      0               3.6    3.28      10.79   1.93     2.59            4.54       4.43
Marken          12.79   1.06       1.54     3.05            0      4.2       11.72   3.13     1.26            0.6        0.54
Mindemyren      13.54   3.39       3.09     2.86            3.26   0         10.13   1.04     3.59            4.2        4.09
Lagunen         22.01   11.74      12.22     11.48           11.61  8.35      0       9.39     11.94           12.55      12.44
KronstadX       13.09   2.95       2.65     2.42            2.82   2.29      9.8     0        3.15            3.76       3.65
VestreTorggaten 12.94   0.49       0.67     3.2             0.88   4.35      11.86   3.28     0               1.25       1.19
Korskirken      13.19   1.46       1.94     3.45            0.48   4.6       12.11   3.53     1.66            0          0.29
Fløyen          13.27   1.54       2.02     3.53            0.56   4.68      12.2    3.61     1.74            0.29       0;


